Round 1 Ability	Round 2 Ability	Round 3 Ability	Blurb	Dialogue				
Fireball	Wallop		Relax.	Don't worry though, no one listens to what they say...probably.				
Fireball	Sing		As for me...	Don't you want to know what I would do about this?				
Fireball	Pull	Shield	I wouldn't say that.	You KNOW I would never say such things...				
Fireball	Pull	Lunge	Actions, not words.	I would have PROVED these things...				
Fireball	Pull	Wallop	Above it all.	In fact, I consider myself to be above such simple things.				
Fireball	Pull	Sing	If it were me...	If I had started this rumor it would have been about your terrible fashion sense.				
Fireball	Shield	Pull	Not my fault.	You know, you really shouldn't be so mean to me, it's not like *I* started those rumors.				
Fireball	Shield	Lunge	I thought you knew me.	I thought you knew me better than to suggest I'd start something like this.				
Fireball	Shield	Wallop	I try to stay out of it.	I usually try to stay out of gossip circles...you know that.				
Fireball	Shield	Sing	It must be hard.	It must be hard to hear such things...no one dares to say such things to ME.				
Fireball	Lunge	Pull	Make a "deal".	I could help stop the rumors...if you did something for me.				
Fireball	Lunge	Shield	I'm only trying to help.	There's no need to be so mean, I'm only trying to help you.				
Fireball	Lunge	Wallop	But I shouldn't bother...	But maybe I shouldn't have bothered to tell you...you won't do anything anyways.				
Fireball	Lunge	Sing	Better from me.	You should be grateful you heard it from me, I'm being NICE about it.				
Fireball	Wallop	Pull	People listen to me.	But they listen to what *I* say...so keep that in mind.				
Fireball	Wallop	Shield	It doesn't matter to me.	I don't care what you do though...as long as you know it's not my fault.				
Fireball	Wallop	Lunge	They could be right.	Who knows...maybe the rumors are right.				
Fireball	Wallop	Sing	Listen to me.	You should listen to me...it might be good for you.				
Fireball	Sing	Pull	Tell them what's what.	You should tell them what you REALLY think of all this.				
Fireball	Sing	Shield	Take a leaf out of their book.	You should give them a taste of their own medicine.				
Fireball	Sing	Lunge	Stop being a wimp.	You need to stop being a baby and confront them.				
Fireball	Sing	Wallop	It doesn't bother ME.	You shouldn't pay attention to what everyone says about you; be more like me and ignore it.				
Sing	Pull		Offer tips.	I can always give you tips, you know. People say I'm very helpful.				
Sing	Shield		Fake self-doubt.	I know I'm great, but sometimes I can't help but wonder if everyone is just pretending...				
Sing	Lunge		You're struggling.	You don't seem like you're doing as well as me.				
Sing	Wallop		I don't NEED attention...	I don't NEED people to compliment me, but it's nice to know my hard work is so appreciated.				
Sing	Fireball		I heard you needed my help.	When I heard people saying that I could help you, I didn't know you were this desperate.				
Sing	Pull	Shield	Fish for praise.	I like to think that I'm helpful, anyways...				
Sing	Pull	Lunge	You could use them.	You could really use my help.				
Sing	Pull	Wallop	You don't HAVE to.	Of course, you don't HAVE to care about your appearance...				
Sing	Pull	Fireball	It would stop the rumors.	If you let me help you maybe some of those rumors about you would stop.				
Sing	Shield	Pull	Now be honest...	You'd tell me what you really think, right?				
Sing	Shield	Lunge	No one sucks up to you.	What is it like to never have anyone try to suck up to you?				
Sing	Shield	Wallop	It's hard to be beautiful.	It's hard to have people hold you to such HIGH beauty standards, you know?				
Sing	Shield	Fireball	Insults are honest.	You're lucky you don't have to worry about people telling you what they really think about you.				
Sing	Lunge	Pull	Be more like me.	You know, if you just listend to me you would be a lot better off in a lot of ways.				
Sing	Lunge	Shield	If you don't want my help...	It's okay if you don't want my help...not everyone has it in them to be this spectacular.				
Sing	Lunge	Wallop	None of my business.	But of course...it's none of MY business if you want to continue looking like a disaster.				
Sing	Lunge	Fireball	Not even in my league.	It's so unfair that everyone compares you to me when you clearly don't come close...				
Sing	Wallop	Pull	Me > You.	They say imitation is the sincerest form of flattery...but your attempt to copy me has obviously failed.				
Sing	Wallop	Shield	Don't you appreciate me?	You never say anything nice to me though...why is that?				
Sing	Wallop	Lunge	Wish you could relate.	I'm sorry you don't know what it feels like to be so admired...				
Sing	Wallop	Fireball	They say I'm better than you.	There must be a reason people prefer me over you...				
Sing	Fireball	Pull	Impress me, impress others.	If only you could impress me...maybe then you would have a chance at winning others over.				
Sing	Fireball	Shield	Not using my advice?	It's refreshing to see someone brave enough to ignore all my advice.				
Sing	Fireball	Lunge	Lost cause...	I don't even think *I* could help you...				
Sing	Fireball	Wallop	I'm still better.	It's fine that you don't seem to care what people think...we all know you'll never be better than me.				
Wallop						#swag		You just wish you were this #swag.
Wallop						I'm kind of a big deal...		Look, I'm kind of a big deal, so...
Wallop						You want an autograph?		I'm sorry, did you want an autograph?
Wallop						I look good.		Me? I always look good.
Wallop						Jealous?		Jealous, sweetie? Don't worry, I'm used to it.
Wallop						Yes, its me.		Yes, it's really me. Breathe it in.
Wallop						Envious.		Green with Envy? Come now, darling. That color is SO last season.
Wallop						Ah, the little people...		Ah, the little people. Can't live with them, can't live....with them.
Wallop						Are you a fan?		Oh yes of course! I always have time for a fan!
Wallop						Who are you?		I'm sorry, who are you?
Wallop						Not easy being perfect.		You know, it's not easy being perfect.
Wallop						You must recognize me...		You must recognize me from the cheer squad...and the school play...and the student coucil....I get around.
Wallop		Fireball				I set the bar high...		Oh, honey, don't feel bad about yourself. I just set the bar REALLY high.
Wallop		Lunge				Did you get dressed in the dark...		You get dressed in the dark this morning, babe? Because that outfit...hoo boy.
Wallop		Shield				I could beat you if wanted to...		We both know I could totally thrash you if I felt like it. I just don't feel like it.
Wallop		Sing				*draw a crowd*		Hey, everyone! Check out this weirdo girl whose talking to me for some reason!
Wallop		Pull				Seriously?		*scoff* Seriously? YOU want to mess with ME?
Wallop		Fireball		Lunge		Get over it...		I'm smart, I'm funny, I'm pretty, and you're...well...not. Get over it.
Wallop		Fireball		Shield		u mad?		U mad, baby girl? ( ͡° ͜ʖ ͡°)
Wallop		Fireball		Sing		I draw a crowd...		Gosh, it's just so hard being the coolest person in the room all the time. Like, it's such a big responsibility. I'm just glad you never have to go through that.
Wallop		Fireball		Pull		I'll let you carry my books...		Don't worry, I'll let you carry my books for me or something.
Wallop		Lunge		Fireball		I think you're brave...		No really, I think it shows courage to wear an outfit that's so obviously worse than mine. It's like you don't even care about the staring. Really, it's commendable.
Wallop		Lunge		Shield		You remind me of myself...		You actually remind me of myself. You know, like...before puberty, when I was flat and gangly and had no sense of style.
Wallop		Lunge		Sing		Everybody watch this...		Hey! Who wants to come to the roof and watch me thrash this bitch?
Wallop		Lunge		Pull		I'll drop a mic on you...		I carry this microphone around with me just to drop it on bitches like you.
Wallop		Shield		Fireball		I ain't even mad...		You just think you're so cool, dontcha? Whatever. I don't even care.
Wallop		Shield		Lunge		You won't like me when I'm angry...		Oh, you do NOT want to piss me off. I work best when I'm angry!
Wallop		Shield		Sing		You just ask anybody...		You just ask anybody! They'll totally say that I can kick your ass!
Wallop		Shield		Pull		I'll play with you...		*scoff* Fine. If you insist. I'll play with you for a while.
Wallop		Sing		Fireball		You're so cute!		The way you just come up and talk to me is too damn cute! Like we're equals or something! Ugh! Stop it! You're a so adorable!
Wallop		Sing		Lunge		Get away from me.		Bitch, I don't know you and I couldn't give less of a shit about you.
Wallop		Sing		Shield		Who do you think you are?		Who does this girl think she is? She can't just walk up to me and start getting all aggressive!
Wallop		Sing		Pull		I'll sic the school on you...		You have thirty seconds to get away from me before I sic this entire school on you.
Wallop		Pull		Fireball		You're out of your league...		Oh honey, you have no idea just how far out of your league you are.
Wallop		Pull		Lunge		You'll regret this...		I'm going to make you regret the day you set foot in my hallway.
Wallop		Pull		Shield		I'd like to see you try...		You think you can take me on? Oh, I'm going to enjoy watching you try.
Wallop		Pull		Sing		Well, look what we have here...		Well, look what we have here. A fiesty one. Oh, I'm going to enjoy playing with you!
Lunge						Look at this bitch.		Ugh. Look at this ugly-ass bitch.
Lunge						Here comes that bitch I hate.		Oh wow, here comes this bitch.
Lunge						I hate you.		You know I fucking hate you, right?
Lunge						Get out of my way!		Ugh! Get out of my way!
Lunge						Here comes a piece of shit.		Oh great, here comes a piece of shit person to brighten up my piece of shit day.
Lunge						*laugh at her*		HAHAHA!!! Oh, I'm sorry. I'm just laughing at you.
Lunge						*scoff*		*scoff*
Lunge						You're the worst.		You're just the worst, you know that?
Lunge						You're an asshole.		You're an asshole. Yeah, I'll say it.
Lunge						You got something to say?		You got something to say? Say it to my face!
Lunge						You make me angry.		I swear to God, just the sight of you makes me want to hurt a child.
Lunge						Oh, god it's you.		Oh god, it's you.
Lunge		Fireball				*sarcastic sympathy*		Honestly, I feel bad for you. It must suck knowing that everyone at this school hates you.
Lunge		Shield				You're attacking me because you're insecure.		Does attacking me make you feel better about your pathetic life?
Lunge		Sing				Everyone loves me and hates you.		Who's going to care about a worthless skank like you while I'm here?
Lunge		Pull				You talking to me?		I'm sorry, were you talking to me? I'll let you know when I'm listening.
Lunge		Wallop				Are you a whore or just a bitch?		Was the footabll team extra rough with you last night, or are you just always a huge bitch in the morning?
Lunge		Fireball		Shield		Why are you such a bitch?		Oh my god, why are you such a bitch? Does it make you feel good, huh? You get off on it?
Lunge		Fireball		Sing		They're going to cheer for me...		No one gives a shit about you, you know that? They're going to cheer for me when I kick your ass.
Lunge		Fireball		Pull		You poor baby...		Oh, poor baby. Are you upset? You wanna cry?
Lunge		Fireball		Wallop		You've got a lot of alone time...		All that time you spend alone...you must be great at, you know...fucking yourself.
Lunge		Shield		Fireball		Everyone knows you're loser.		I mean, everyone knows you're a loser. It's not like it's a secret.
Lunge		Shield		Sing		You'll never be as popular as me.		You're just a stupid, wannabe, loser! People will never love you the way they love me!
Lunge		Shield		Pull		Quit yapping, little dog....		Quit yapping little dog, before I make you.
Lunge		Shield		Wallop		I mean, it's not my fault...		I mean, it's not my fault your parents are too poor to buy you a decent outfit.
Lunge		Sing		Fireball		*burn book*		I told everyone at school that you that you got dirty with the vice-principal. And you know what? They believed me.
Lunge		Sing		Shield		Don't hate me because I'm popular.		Don't hate me just because I'm popular. It makes you look pathetic.
Lunge		Sing		Pull		People worship me...		People literally worship me at this school. What chance do you think you have?
Lunge		Sing		Wallop		*shark snark*		Swim away little fishy. Before you get schooled by a shark.
Lunge		Pull		Fireball		You'll be a pariah...		You know what? Why don't I just tell everyone that you've got herpes?
Lunge		Pull		Shield		Go ahead. Hit me.		Wow. You're so angry. You look like you want to punch me right in the face. Go ahead. Do it! See how that plays out for you.
Lunge		Pull		Sing		I'll make your life hell.		I swear to God. If you mess with me I will make your life a living hell. You won't be able to move two inches without feeling my hands on your throat.
Lunge		Pull		Wallop		I'll kick your ass for fun.		You know what? I think I'll kick your ass just for the hell of it. I've got two minutes.
Lunge		Wallop		Fireball		Looks like the rumors are true.		Looks like what I wrote in the bathroom stall is true. You really will do anything for a good time.
Lunge		Wallop		Shield		Come at me!		You wan't to fucking go? You, me, on the roof. One on one. Come at me!
Lunge		Wallop		Sing		*start a scene*		Check it out everybody! Sally Sucks-a-Lot thinks she can throw down with the big girls!
Lunge		Wallop		Pull		You're my bitch...		Well you're just my little bitch, now aren't you?
Pull						Are you worthy?		You're worthy of washing my feet. Maybe.
Pull						Call Agent 47.		I'm pretty sure I can get you killed.
Pull						Worship me.		By the end of today, you'll be licking my boots.
Pull						I own you		You look like you'd like to serve me.
Pull						Love only me.		People love me. You're an idiot if you don't.
Pull						I am a god.		I am everything. You are nothing.
Pull						I will lead you.		Take a chance. Listen to my words. I can show you everything .
Pull						Get on your knees.		Bow down to me you peon, I am your god.
Pull						You are mine.		Your eyes are beautfiul. I want them.
Pull						You are nothing.		I run this school. You are nothing without me.
Pull						I define you.		You're only as good as I say you are.
Pull						Submit to me.		I love the look of submission glittering in your eyes.
Shield 						Tell me I'm nice!		I don't understand why everyone is so mean to me.
Shield 						Everyone is so mean.		If you were a good person you wouldn't be so mean to me.
Shield 						Compliment me!		The only people who appreciate me are cats.
Shield 						Pity Party!		I wish I was as cool as you.
Shield 						I hate myself.		I'm so ugly, and terrible, I just hate myelf. What do you think?
Shield 						Guilt trip time!		*Gives silent treatment*
Shield 						Not my fault.		It's not my fault everyone is so stupid.
Shield 						I'm just lazy.		I could do what you could, if I wanted to.
Shield 						*wahhhhhhh*		I can't do anything. I'm so dumb. I'm so bad at everything.
Shield 						I can't do this.		I'm sorry, I can't even fight. Can you just do it for me?
Shield 						You're just better...		You're so much cooler than I could ever be.
Shield 						This is stupid.		I hate myself. I'm terrible.
Pull		Sing				Look at me!		The meeting to worship me is in an hour.
Pull		Shield				You're a liar!		If you really cared, you would just die.
Pull		Fireball				I know a secret...		Your friends all think I'm prettier than you.
Pull		Lunge				I don't like your face.		Ask me, ask my mother, I'm always going to be better than you.
Pull		Wallop				Check THIS out!		Look at this stuff, isn't it neat? I am the best and your life's incomplete.
Pull		Sing		Shield		My hands are not tiny.		My meetings are the best meetings, they're HUGE. They're better than anyone elses. IF ANYONE SAYS OTHER WISE THEY'RE LYING.
Pull		Sing		Fireball		I might not tell...		If you come to my meeting, I'll stop telling people that you pick your butt and smell your fingers.
Pull		Sing		Lunge		How do you exist?		Come to my meeting and love me or I'll ruin your life.
Pull		Sing		Wallop		I wil be famous.		My meetings typically involve a performance by me, and clapping is a requirement.
Pull		Shield		Sing		*Godly Jazz Hands*		It would be a quick death, I promise, people would remember me forever as a merciful god.
Pull		Shield		Fireball		I know things...		Honestly, dying might be better than everyone knowing you make out with that poster of Emilio Estevez
Pull		Shield		Lunge		Just accept you're dumb.		I'm telling you to die because you're annoying and your hair is stupid.
Pull		Shield		Wallop		It will be STABulous.		I see in your future a death so fabulous that you'll be drop dead gorgeous.
Pull		Fireball		Sing		*Gloating Jazz Hands*		I'm prettier than you and your friends. And your partner thinks so to. And your dog. I don't even know why you're here.
Pull		Fireball		Shield		It's your fault.		I mean, I don't think I'm prettier than you, but they just keep saying it. Maybe I am? But that's not my fault.
Pull		Fireball		Lunge		You said something?		Your friends are right. I'm prettier, and cooler, and pretty much better than you. Who are you again?
Pull		Fireball		Wallop		If it smells like poop...		Your friends are all total assholes. I guess that makes you a turd ferguson.
Pull		Lunge		Sing		*Spiteful Jazz Hands*		Anything you can do I can do better, I can do anything better....who are you?
Pull		Lunge		Shield		It's not fair!		We can't all have moms as cool as yours. You're so selfish. I'm going to pull your hair out now.
Pull		Lunge		Fireball		I have sources...		My mom knows your mom, and your mom wishes you were me. 
Pull		Lunge		Wallop		Hold my beer.		No, really, your mom likes me better. I'm like the daughter she never had.
Pull		Wallop		Sing		*Threatening Jazz Hands*		Wouldn't you say I'm the girl...SAY I'M THE GIRL OR DIE.
Pull		Wallop		Shield		Look at this trash.		I've got gadgets and gizmos of plenty...I mean they're not that cool, but I guess they can hurt you.
Pull		Wallop		Fireball		Is that a fork?		Wouldn't you say I'm the girl...who totally ISN'T telling you that your friends think your hair is stupid.
Pull		Wallop		Lunge		*Sharpens Teeth*		Yes. I just sang The Little Mermaid. And now I'm going to go full Mermaid and eat your face off.
Shield 		Pull				I'm a martyr.		I do so much for everyone, but it's fine, I'll bare my pain in silence...like Jesus did.
Shield 		Sing				SHUT UP.		My therapist says I have anger issues. BUT YOU AND HER ARE BOTH KNOW-IT-ALL IDIOTS.
Shield 		Fireball				That's a lot of makeup.		I'm NOT going to tell you that you look like a clown with that makeup because I'm a good friend and I would never tell you that.
Shield 		Lunge				You have a punchable face.		I really only want to punch you because you remind me of myself.
Shield 		Wallop				I'm a pun master.		Hmm, about your outfit, I'm not trying to SKIRT the issue...but your skirt is bad....WHY AREN'T YOU LAUGHING?
Shield 		Pull		Sing		LOOK WHAT I DO FOR THEM.		I sacrifice my body for my friends, taking the bottom lockers so they don't have to bend down. Just like Joan of Arc. And you all stand by idly...you hate me... well you can just DIE.
Shield 		Pull		Fireball		You're cute like a pet.		You don't even know what I go through. I made all your friends FOR you. Like Charles Man...wait...
Shield 		Pull		Lunge		I will get revenge.		I will be a martyr. Everyone will love me. And then I will crush you. This is revenge for that time you called me Darth Becky.
Shield 		Pull		Wallop		Here comes the weasel!		No one appreciates my humor or style. But with everything I do, one day people will recognize the greatness in me. It's Pauly Shore all over again.  
Shield 		Sing		Pull		You haven't see my final form.		My therapist says a lot of stupid things, things that try to hurt me, but she has no idea that I'm untouchable, that I'm beyond her, that I'm almost...a god. Feel my power.
Shield 		Sing		Fireball		I'm not that mean.		My therapist also says I need to tell you that you're never going to amount to anything in life. She can be so mean.
Shield 		Sing		Lunge		Fist meet face.		I know I'm an angry person. And right now, that anger is telling me that you're the reason everything in my life is terrible. So like, I'm gonna beat you up now.
Shield 		Sing		Wallop		I got a rager for you.		Being upset is normal. RIght now angry people are all the rage. GET IT? THIS IS WHERE YOU'RE SUPPOSED TO LAUGH.
Shield 		Fireball		Sing		I scrapbook y'know.		And I definitely wouldn't be putting together this scrapbook of all your worst hairstyles that will then be distrbuted to the entire senior class. Or hit you with the scrapbook. Never.
Shield 		Fireball		Pull		I'm so charitable.		Of course I'm your best friend! I'm willing to let you hold my books without spitting on you. That's called charity.
Shield 		Fireball		Lunge		You have work to do.		I mean, I DO think you're hair could use some work. And your clothes. Your posture. Your face. Your voice. See how nice I am to not to tell you though?
Shield 		Fireball		Wallop		I can help with that face.		I'm not clowning around. You look like Bozo. I'm trying to help. Here let me wipe that off your face.
Shield 		Lunge		Sing		I'm the prettiest.		I mean, nobody is allowed to be as pretty as me. So I really need to punch your teeth in.
Shield 		Lunge		Pull		I'm going to MAKE you laugh.		Hey, I've got a joke, my fist is gonna tell it to your face. I can't wait till you hear the PUNCHline.
Shield 		Lunge		Fireball		Bald looks good!		I can always pull out your hair, because if you cut back on the makeup and hair products, you might be able to KEEP your friends.
Shield 		Lunge		Wallop		I'm too good for Yelp.		I very maturely and straightforwardly left you anonymous comments online. You can thank me later for the clothing advice.
Shield 		Wallop		Sing		I'm like a model.		You should try to learn from me. My outfits are amazing. But you? Well, I've PLAID enough of you.
Shield 		Wallop		Pull		I'm the most fashionable.		You will bow down to me and I will dispense better clothing options to you like a a saint...like Santa Kors.
Shield 		Wallop		Fireball		I voted for you!		I voted for you for the yearbook! Most likely to die alone and consumed by loneliness and a growing dependence on alcohol! You're welcome.
Shield 		Wallop		Lunge		Clean your face.		Ugh, get away from me. I swear if I wanted to fry some food, I'd get the grease off your forehead. 
